slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
zspage             56596  58035     56   73    1 : tunables    0    0    0 : slabdata    795    795      0
zs_handle         351617 358912      8  512    1 : tunables    0    0    0 : slabdata    701    701      0
dm_bufio_buffer-4     75     75    160   25    1 : tunables    0    0    0 : slabdata      3      3      0
dm_bufio_buffer-4    175    175    160   25    1 : tunables    0    0    0 : slabdata      7      7      0
dm_bufio_buffer-4    200    200    160   25    1 : tunables    0    0    0 : slabdata      8      8      0
dm_bufio_buffer-4     75     75    160   25    1 : tunables    0    0    0 : slabdata      3      3      0
dm_bufio_buffer-4    125    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4     50     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
dm_bufio_buffer-4    200    200    160   25    1 : tunables    0    0    0 : slabdata      8      8      0
dm_bufio_buffer-4    175    175    160   25    1 : tunables    0    0    0 : slabdata      7      7      0
dm_bufio_buffer-4    200    200    160   25    1 : tunables    0    0    0 : slabdata      8      8      0
dm_bufio_buffer-4    125    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4     50     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
dm_bufio_buffer-4    200    200    160   25    1 : tunables    0    0    0 : slabdata      8      8      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4     50     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
dm_bufio_buffer-4     50     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
dm_bufio_buffer-4    125    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4    175    175    160   25    1 : tunables    0    0    0 : slabdata      7      7      0
dm_bufio_buffer-4    100    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4    175    175    160   25    1 : tunables    0    0    0 : slabdata      7      7      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4    100    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
dm_bufio_buffer-4    100    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4    175    175    160   25    1 : tunables    0    0    0 : slabdata      7      7      0
dm_bufio_buffer-4     75     75    160   25    1 : tunables    0    0    0 : slabdata      3      3      0
dm_bufio_buffer-4    175    175    160   25    1 : tunables    0    0    0 : slabdata      7      7      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4    100    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
dm_bufio_buffer-4    125    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
bio-624              650    650    640   25    4 : tunables    0    0    0 : slabdata     26     26      0
bio-704              672    672    768   21    4 : tunables    0    0    0 : slabdata     32     32      0
dm_bufio_buffer-4    125    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
f2fs_xattr_entry-8:7    117    117    208   39    2 : tunables    0    0    0 : slabdata      3      3      0
f2fs_xattr_entry-8:6      0      0    208   39    2 : tunables    0    0    0 : slabdata      0      0      0
f2fs_xattr_entry-8:5    117    117    208   39    2 : tunables    0    0    0 : slabdata      3      3      0
f2fs_page_array_entry-254:66   1024   1024     32  128    1 : tunables    0    0    0 : slabdata      8      8      0
f2fs_xattr_entry-254:66    312    312    208   39    2 : tunables    0    0    0 : slabdata      8      8      0
va-region-slab-mali0   2258   2688    144   28    1 : tunables    0    0    0 : slabdata     96     96      0
smra_metadata          0      0    304   26    2 : tunables    0    0    0 : slabdata      0      0      0
IEEE-802.15.4-MAC      0      0    896   36    8 : tunables    0    0    0 : slabdata      0      0      0
IEEE-802.15.4-RAW      0      0    896   36    8 : tunables    0    0    0 : slabdata      0      0      0
lowpan-frags           0      0    200   20    1 : tunables    0    0    0 : slabdata      0      0      0
TIPC                  28     28   1152   28    8 : tunables    0    0    0 : slabdata      1      1      0
can_gw                 0      0     96   42    1 : tunables    0    0    0 : slabdata      0      0      0
can_receiver           0      0     80   51    1 : tunables    0    0    0 : slabdata      0      0      0
f2fs_xattr_entry-8:1    234    234    208   39    2 : tunables    0    0    0 : slabdata      6      6      0
dm_verity_fec_buffers      8      8   4048    8    8 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4    150    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_verity_fec_buffers      8      8   4048    8    8 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4   1625   1625    160   25    1 : tunables    0    0    0 : slabdata     65     65      0
dm_verity_fec_buffers      8      8   4048    8    8 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4    875    875    160   25    1 : tunables    0    0    0 : slabdata     35     35      0
dm_verity_fec_buffers      8      8   4048    8    8 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4    675    675    160   25    1 : tunables    0    0    0 : slabdata     27     27      0
dm_verity_fec_buffers      8      8   4048    8    8 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4    100    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
ext4_groupinfo_4k    351    351    208   39    2 : tunables    0    0    0 : slabdata      9      9      0
bio-3728              96     96   3776    8    8 : tunables    0    0    0 : slabdata     12     12      0
bio-3808             312    312   3840    8    8 : tunables    0    0    0 : slabdata     39     39      0
dm_verity_fec_buffers      8      8   4048    8    8 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer       26     26    152   26    1 : tunables    0    0    0 : slabdata      1      1      0
dm_bufio_buffer-4   1400   1400    160   25    1 : tunables    0    0    0 : slabdata     56     56      0
bio-200             1808   1920    256   32    2 : tunables    0    0    0 : slabdata     60     60      0
bio-280             1829   1925    320   25    2 : tunables    0    0    0 : slabdata     77     77      0
f2fs_xattr_entry-8:10    312    312    208   39    2 : tunables    0    0    0 : slabdata      8      8      0
msb_kmem_cache        32     32    128   32    1 : tunables    0    0    0 : slabdata      1      1      0
