slabinfo - version: 2.1
# name            <active_objs> <num_objs> <objsize> <objperslab> <pagesperslab> : tunables <limit> <batchcount> <sharedfactor> : slabdata <active_slabs> <num_slabs> <sharedavail>
zspage            151752 180164     56   73    1 : tunables    0    0    0 : slabdata   2468   2468      0
zs_handle         760232 927232      8  512    1 : tunables    0    0    0 : slabdata   1811   1811      0
dm_bufio_buffer-4     28    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
dm_bufio_buffer-4     12    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4     32    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4      2     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
dm_bufio_buffer-4     30    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4     27     75    160   25    1 : tunables    0    0    0 : slabdata      3      3      0
dm_bufio_buffer-4     73    200    160   25    1 : tunables    0    0    0 : slabdata      8      8      0
dm_bufio_buffer-4     63    200    160   25    1 : tunables    0    0    0 : slabdata      8      8      0
dm_bufio_buffer-4     77    200    160   25    1 : tunables    0    0    0 : slabdata      8      8      0
dm_bufio_buffer-4     13    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4     26     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
dm_bufio_buffer-4     15    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4      2     50    160   25    1 : tunables    0    0    0 : slabdata      2      2      0
dm_bufio_buffer-4     23    150    160   25    1 : tunables    0    0    0 : slabdata      6      6      0
dm_bufio_buffer-4      5    100    160   25    1 : tunables    0    0    0 : slabdata      4      4      0
dm_bufio_buffer-4     34    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4     15     75    160   25    1 : tunables    0    0    0 : slabdata      3      3      0
dm_bufio_buffer-4     31     75    160   25    1 : tunables    0    0    0 : slabdata      3      3      0
dm_bufio_buffer-4     34    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4     31    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
dm_bufio_buffer-4      9     75    160   25    1 : tunables    0    0    0 : slabdata      3      3      0
dm_bufio_buffer-4     45    175    160   25    1 : tunables    0    0    0 : slabdata      7      7      0
dm_bufio_buffer-4     11    125    160   25    1 : tunables    0    0    0 : slabdata      5      5      0
